Div,DNA,DNA/Crypton,DNA/Crypton-A,DNA/Kolobok,DNA/Merlin,DNA/PIF-Harbinger,DNA/hAT-Ac,DNA/hAT-Blackjack,DNA/hAT-Charlie,LINE/CR1,LINE/L1,LINE/R2,LINE/RTE-BovB,LTR/ERV,LTR/ERV1,LTR/ERVK,LTR/ERVL,LTR/Gypsy,LTR/Unknown,PLE/Chlamys,RC/Helitron,SINE/5S-Deu-L2,SINE/MIR,SINE/tRNA,Unknown
0,1882,0,0,0,0,0,0,0,0,352012,0,13331,0,36953,608049,525805,159972,0,52898,0,0,9620,31,113,116401
1,0,0,0,0,0,0,0,0,0,221718,0,18288,0,34986,585093,1403014,348008,0,60317,0,0,0,0,0,199543
2,0,0,0,0,0,0,0,0,0,117129,0,14708,0,36903,522319,1170127,361769,0,56813,0,0,0,0,90,282035
3,66,0,0,0,0,0,0,0,0,40818,0,7215,0,31092,817972,1279166,506060,0,33351,0,0,35,139,207,385691
4,0,0,0,0,0,0,0,0,0,68371,0,4886,0,21021,796896,1587754,352920,0,37776,0,0,0,272,551,609006
5,0,0,0,0,0,0,284,0,0,76079,213,1471,0,10745,741868,1230717,378593,0,60595,0,0,0,0,800,518229
6,719,0,0,0,0,0,0,0,0,146088,0,894,0,19353,654912,1084631,426023,0,74563,49,51,0,80,810,491314
7,291,0,0,0,116,0,0,43,84,179265,0,43,0,12635,538690,942109,482310,0,86546,57,75,0,0,1813,544638
8,541,0,0,0,0,0,76,0,50,278211,0,749,0,18869,470418,996604,462937,0,69092,0,143,0,250,3197,484852
9,669,0,268,0,0,0,56,1253,0,402023,0,207,606,23783,545668,870255,370552,0,45883,427,256,0,208,2224,423212
10,657,0,0,55,0,0,42,0,52,528759,0,857,0,10600,473076,686267,314036,47,33710,2383,205,0,42,3496,370219
11,383,52,0,0,0,0,0,0,0,693107,0,241,128,6951,419146,547816,376371,141,24531,1515,962,274,1329,4641,373157
12,245,288,90,195,138,96,45,0,285,834927,0,44,0,1890,341130,580361,376877,0,27131,1062,427,101,391,4041,366963
13,491,0,121,0,0,62,58,0,483,961936,0,522,0,4347,342644,613318,416439,2562,29215,2014,2010,0,599,6864,325067
14,311,0,160,0,0,0,258,138,670,1082594,63,139,0,7951,422277,544049,481415,1477,27352,702,2362,0,1438,5344,295457
15,1303,307,368,68,0,70,301,0,411,1094637,0,509,0,7447,370202,407198,538893,2452,26746,1561,1694,0,911,5137,312396
16,1350,246,186,148,178,73,321,0,363,1177614,0,204,0,19046,297684,393283,587790,1496,22469,817,8481,131,1310,6372,381664
17,2373,55,213,182,153,0,296,0,611,1244689,0,330,101,10228,265417,218064,660876,165,20764,1384,18842,257,1271,5368,416922
