Div,DNA,DNA/Crypton,DNA/Crypton-A,DNA/Kolobok,DNA/Merlin,DNA/PIF-Harbinger,DNA/hAT-Ac,DNA/hAT-Blackjack,DNA/hAT-Charlie,LINE/CR1,LINE/L1,LINE/R2,LINE/RTE-BovB,LTR/ERV,LTR/ERV1,LTR/ERVK,LTR/ERVL,LTR/Gypsy,LTR/Unknown,PLE/Chlamys,RC/Helitron,SINE/5S-Deu-L2,SINE/MIR,SINE/tRNA,Unknown
0,0,0,0,0,0,0,0,0,0,220815,0,0,0,14524,346771,218340,52041,0,26721,0,0,0,0,0,65655
1,0,0,0,0,0,0,0,0,0,61436,0,0,0,22876,275844,587691,194177,0,33431,0,0,0,0,0,55526
2,0,0,0,0,0,0,0,0,0,22314,0,0,0,12573,179561,561559,204594,0,15681,0,0,0,0,45,28751
3,0,0,0,0,0,0,0,0,0,6520,0,0,0,7717,367189,396913,231052,0,7022,0,0,0,0,67,40094
4,0,0,0,0,0,0,0,0,0,5111,0,0,0,13134,384738,422059,153062,0,8904,0,0,0,0,0,111327
5,0,0,0,0,0,0,0,0,0,170,0,0,0,5075,350327,339801,129828,0,13673,0,0,0,0,0,103293
6,0,0,0,0,0,0,0,0,0,1889,0,0,0,12032,266486,375863,99528,0,15763,49,0,0,0,143,63984
7,0,0,0,0,0,0,0,0,0,3146,0,0,0,7593,220174,280362,113254,0,14290,0,0,0,0,63,48134
8,0,0,0,0,0,0,0,0,0,4153,0,0,0,9090,213733,336579,120562,0,6436,0,0,0,0,0,46022
9,0,0,0,0,0,0,0,0,0,15189,0,0,0,13409,277972,347670,99061,0,5068,427,0,0,0,0,52897
10,0,0,0,0,0,0,0,0,0,13817,0,0,0,5651,222079,219213,108603,47,5889,1394,0,0,0,0,43961
11,0,0,0,0,0,0,0,0,0,15942,0,0,0,4742,173928,148461,115223,0,3710,496,0,0,0,0,60326
12,0,0,0,0,0,0,0,0,0,27951,0,0,0,1411,139736,143563,106329,0,1951,656,0,0,0,0,35828
13,0,0,0,0,0,0,0,0,72,25709,0,0,0,3538,129549,176356,88812,146,6751,1253,0,0,0,78,39417
14,0,0,0,0,0,0,0,0,0,22443,0,0,0,5333,145701,132505,90116,0,5366,0,0,0,0,0,26415
15,0,0,0,0,0,0,0,0,0,24566,0,52,0,4753,130337,104991,96499,0,2936,734,0,0,0,0,19382
16,0,0,0,0,0,0,0,0,0,31447,0,0,0,17178,102673,130103,87879,0,3130,92,0,0,0,0,23736
17,0,0,0,0,0,0,0,0,0,26958,0,80,0,6541,88233,59213,88512,0,2403,1384,0,0,0,0,26586
18,0,0,0,0,0,0,0,0,0,27921,0,0,0,4868,84630,48811,87621,0,4909,714,0,0,0,0,36963
19,0,0,0,0,0,0,0,0,0,18104,0,0,0,10771,69874,45468,69744,0,1794,0,0,0,0,0,51746
20,0,0,0,0,0,0,0,0,0,19451,0,73,0,11006,59771,37937,87057,0,606,821,0,0,0,0,41716
21,0,0,0,0,0,0,69,69,0,14502,69,81,69,2868,67496,34522,80866,503,124,0,0,0,0,73,37542
22,0,0,0,0,0,0,0,0,0,15538,0,332,0,4257,72063,37154,58251,295,1920,0,0,0,0,0,19725
23,0,0,0,0,0,0,0,0,0,11868,0,0,0,11796,44237,38333,65899,0,475,0,0,0,0,75,18489
24,0,0,0,0,0,0,0,0,0,9735,0,0,0,5519,47750,37816,49460,0,822,0,0,0,0,0,9975
25,0,0,0,0,0,0,0,0,0,11431,0,0,0,9019,47658,49490,44759,96,274,0,175,0,0,0,13854
26,0,0,0,0,0,0,0,0,0,10751,0,0,0,4466,46858,43125,38818,0,426,97,0,0,80,0,10907
27,0,0,0,0,0,0,0,0,0,7573,0,0,0,13456,46774,32361,42901,167,278,0,252,0,0,0,7453
28,0,0,0,0,0,0,0,0,0,14669,0,0,0,34205,47014,26987,34505,0,17,221,0,0,0,0,10020
29,0,0,0,0,0,0,0,0,0,11746,0,0,0,42492,46130,58185,34830,0,0,0,0,0,0,0,5419
30,0,0,0,0,0,0,0,0,0,13306,0,0,0,12838,45422,58097,32241,0,82,0,0,0,0,0,8076
31,0,0,0,0,0,0,0,0,0,17032,0,0,0,13718,60520,45514,27583,0,0,0,0,0,0,0,4490
32,0,0,0,0,0,0,0,0,0,19792,0,0,0,4151,29967,41723,15796,0,0,0,0,0,0,0,3404
33,0,0,0,0,0,0,0,0,0,14901,0,0,0,13072,43164,29331,13968,0,779,0,0,0,0,0,2653
34,0,0,0,0,0,0,0,0,0,24910,0,0,0,5150,34244,35050,12019,0,0,0,0,0,0,0,2672
35,0,0,0,0,0,0,0,0,0,19906,0,0,0,1577,32250,34468,12922,0,25,0,0,0,0,0,2332
36,0,0,0,0,0,0,0,0,0,19675,0,0,0,1730,27676,28066,12282,0,77,0,0,0,0,0,1856
37,0,0,0,0,0,0,0,0,0,24321,0,0,0,1129,27801,33209,5581,0,96,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,24206,0,0,0,1463,23097,25749,4719,0,910,0,0,0,0,0,997
39,0,0,0,0,0,0,0,0,0,21923,0,0,0,296,35104,26694,2515,138,168,0,0,0,0,0,531
40,0,0,0,0,0,0,0,0,0,22647,0,0,0,6927,31419,27239,1632,0,0,0,0,0,0,0,709
41,0,0,0,0,0,0,0,0,0,24059,0,0,0,4327,50486,34520,2480,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,0,0,16955,0,0,0,2928,54686,30268,1344,0,197,0,0,0,0,0,211
43,0,0,0,0,0,0,0,0,0,13671,0,0,0,3697,60387,29888,1928,0,143,0,0,0,0,0,272
44,0,0,0,0,0,0,0,0,0,11536,0,0,0,299,39570,26920,962,0,470,0,0,0,0,0,281
45,0,0,0,0,0,0,0,0,0,7462,0,0,0,1510,31274,14454,2462,0,467,0,0,0,0,0,276
46,0,0,0,0,0,0,0,0,0,4839,0,0,0,2244,27675,10691,497,0,887,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,4603,0,0,0,1482,21177,10910,633,0,979,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,2829,0,0,0,536,17117,8841,2083,0,923,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,2707,0,0,0,547,12246,3190,2084,0,569,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,2034,0,0,0,0,6663,3293,1472,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,1125,0,0,0,230,3429,2386,0,0,851,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,1155,0,0,0,0,479,568,1323,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,1247,0,0,0,0,55,0,0,0,392,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,546,0,0,0,0,426,313,162,0,478,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
