Div,DNA,DNA/Crypton,DNA/Crypton-A,DNA/Kolobok,DNA/Merlin,DNA/PIF-Harbinger,DNA/hAT-Ac,DNA/hAT-Blackjack,DNA/hAT-Charlie,LINE/CR1,LINE/L1,LINE/R2,LINE/RTE-BovB,LTR/ERV,LTR/ERV1,LTR/ERVK,LTR/ERVL,LTR/Gypsy,LTR/Unknown,PLE/Chlamys,RC/Helitron,SINE/5S-Deu-L2,SINE/MIR,SINE/tRNA,Unknown
0,1882,0,0,0,0,0,0,0,0,31789,0,0,0,0,35247,141291,47779,0,13439,0,0,0,31,113,4764
1,0,0,0,0,0,0,0,0,0,13279,0,123,0,0,50768,504827,61571,0,3152,0,0,0,0,0,27463
2,0,0,0,0,0,0,0,0,0,36127,0,41,0,0,90227,270265,69177,0,21328,0,0,0,0,45,56338
3,66,0,0,0,0,0,0,0,0,17059,0,0,0,1512,219086,282505,105627,0,15439,0,0,0,139,140,130815
4,0,0,0,0,0,0,0,0,0,22635,0,3455,0,0,182686,345435,78910,0,14779,0,0,0,60,432,170268
5,0,0,0,0,0,0,284,0,0,21638,0,539,0,0,178272,360755,90112,0,22237,0,0,0,0,656,132294
6,0,0,0,0,0,0,0,0,0,39872,0,805,0,0,196100,371337,128080,0,23662,0,0,0,0,446,143648
7,43,0,0,0,0,0,0,43,84,51720,0,43,0,888,130451,373264,148442,0,33607,0,0,0,0,1470,151541
8,242,0,0,0,0,0,0,0,50,99357,0,391,0,2801,97981,368937,133193,0,26543,0,0,0,119,2257,121581
9,539,0,60,0,0,0,56,0,0,164365,0,0,606,571,121063,252649,117088,0,16533,0,0,0,146,1615,125249
10,0,0,0,55,0,0,0,0,0,240651,0,142,0,251,91189,224658,91747,0,11444,0,0,0,0,2577,110877
11,60,0,0,0,0,0,0,0,0,336735,0,181,0,865,82084,173252,139041,0,9121,970,0,0,960,3344,117901
12,200,288,90,195,0,0,45,0,0,419065,0,44,0,0,75397,177193,140608,0,12463,156,67,0,294,3013,112753
13,314,0,121,0,0,62,58,0,180,522690,0,44,0,167,89608,164887,201963,0,8314,5,0,0,446,4792,93976
14,101,0,160,0,0,0,110,0,670,571116,0,61,0,0,125913,181382,248657,0,8909,0,256,0,905,3969,91392
15,358,232,118,68,0,70,175,0,246,594458,0,106,0,842,114850,123617,279237,0,8466,0,65,0,414,3333,90360
16,910,0,186,148,0,73,198,0,363,628866,0,89,0,163,98363,122111,314118,0,6592,0,1834,0,1102,3906,102032
17,1674,0,147,182,0,0,133,0,611,649039,0,105,0,1535,72037,68473,361605,0,9714,0,1945,147,393,3818,137432
18,1765,0,145,89,266,0,284,286,1109,678507,0,0,0,0,66377,71541,370870,0,3261,0,2327,143,1224,3199,125167
19,2080,197,639,109,187,0,122,234,621,707019,0,426,0,1274,53998,57475,362236,555,3507,0,3261,71,1495,4744,139430
20,2023,141,376,228,326,0,385,465,1289,705279,0,211,0,6493,58075,60415,344395,810,4335,0,5031,82,1579,1899,135860
21,2747,759,138,346,0,0,599,88,962,686241,0,249,0,0,51637,47870,362393,673,2430,0,6978,225,2686,3454,147056
22,2542,199,260,216,198,128,584,231,1201,658424,0,191,303,19,53031,49356,321661,3170,1606,0,8904,266,2665,1968,145556
23,2829,1261,209,160,184,92,549,1296,980,691805,0,0,225,41,50902,38335,296833,652,1429,0,14572,104,1836,2369,162676
24,3774,406,60,306,69,0,536,92,1265,696380,0,772,292,477,49995,33002,259410,902,1758,524,15934,280,2908,2806,168818
25,4259,371,64,340,428,0,245,0,257,642038,0,280,274,352,31322,36671,240357,1974,482,411,22100,1060,3858,2351,143957
26,5021,344,869,603,351,77,484,1761,179,625120,0,118,334,487,29843,35775,210965,1838,492,0,16186,321,5717,1087,151010
27,5456,477,140,463,499,0,616,325,714,603264,0,0,0,95,29275,25190,177804,3669,1330,305,30562,885,2508,1603,142179
28,5915,558,358,246,243,0,826,458,295,580456,0,0,575,3071,32289,24091,156554,0,344,0,23345,452,4372,2255,127583
29,4212,147,408,658,461,0,560,474,257,551911,0,106,389,664,27445,26985,122192,0,511,0,31551,912,5992,1427,127422
30,4786,259,307,290,557,0,537,637,222,556999,0,0,0,1399,19735,49934,119745,0,247,0,20515,302,6541,1701,115475
31,5057,470,572,581,297,0,658,472,281,517982,0,0,0,34,28296,45357,92939,0,425,0,24725,267,9838,1772,110205
32,4660,163,0,0,594,0,382,160,267,546580,125,0,430,790,34119,52503,94124,0,149,0,15648,343,6751,866,105427
33,4993,0,236,280,209,0,472,418,0,536816,128,0,621,2626,19627,59779,77163,0,719,0,13201,204,6292,2221,93918
34,3278,145,134,332,190,0,159,0,0,572264,0,0,843,1009,22533,45183,66044,0,993,0,5910,214,8597,2022,68966
35,4531,300,429,0,111,0,307,0,0,572185,0,0,1081,822,19846,34222,58379,0,0,0,6207,557,4607,1440,61029
36,1945,109,245,478,0,0,355,246,0,581677,0,836,759,998,11690,46987,47116,0,0,0,6886,538,5728,1595,46316
37,2891,508,0,314,0,0,240,0,0,615510,0,557,381,128,9541,26198,37246,0,27,0,6151,340,5393,871,33735
38,1836,181,115,296,0,0,135,0,0,623052,0,151,0,762,9085,23812,28548,0,0,0,3746,618,6893,1398,37643
39,1712,159,143,0,0,0,159,272,0,619562,0,0,0,562,11442,19767,26299,0,0,0,1040,72,3635,723,25372
40,1292,0,268,146,125,0,158,414,0,604798,0,0,0,745,8767,10612,16182,0,0,0,15,0,2617,733,29779
41,550,0,0,0,0,0,90,213,0,538306,149,2428,230,677,5051,7671,10890,0,0,0,637,183,3319,370,18931
42,374,154,0,104,98,0,79,0,0,503601,0,255,0,2512,8193,5994,11052,0,0,0,664,101,1691,369,10925
43,374,0,0,166,0,0,82,0,0,426993,0,0,213,1124,7719,6503,3941,0,0,0,0,79,991,378,8147
44,0,0,0,142,0,0,0,0,0,344856,0,3029,0,1653,9387,4149,4869,0,0,0,245,0,923,180,6592
45,266,0,153,0,0,0,0,0,0,265853,0,0,239,3337,2604,2368,4443,0,0,0,0,0,1417,165,4565
46,657,0,0,0,0,0,0,0,0,198082,0,0,0,1645,5102,1469,2209,0,0,0,0,0,0,0,3593
