Div,DNA,DNA/Crypton,DNA/Crypton-A,DNA/Kolobok,DNA/Merlin,DNA/PIF-Harbinger,DNA/hAT-Ac,DNA/hAT-Blackjack,DNA/hAT-Charlie,LINE/CR1,LINE/L1,LINE/R2,LINE/RTE-BovB,LTR/ERV,LTR/ERV1,LTR/ERVK,LTR/ERVL,LTR/Gypsy,LTR/Unknown,PLE/Chlamys,RC/Helitron,SINE/5S-Deu-L2,SINE/MIR,SINE/tRNA,Unknown
0,0,0,0,0,0,0,0,0,0,4908,0,0,0,6219,89154,68758,7286,0,5005,0,0,9620,0,0,24470
1,0,0,0,0,0,0,0,0,0,33137,0,0,0,401,37880,79880,19650,0,6702,0,0,0,0,0,52813
2,0,0,0,0,0,0,0,0,0,20237,0,0,0,4122,71820,83832,37060,0,9642,0,0,0,0,0,94596
3,0,0,0,0,0,0,0,0,0,3041,0,0,0,11995,83017,227814,30449,0,5083,0,0,35,0,0,96603
4,0,0,0,0,0,0,0,0,0,9940,0,1431,0,670,75500,410552,55318,0,6615,0,0,0,0,49,114751
5,0,0,0,0,0,0,0,0,0,16982,0,932,0,0,70753,270294,70221,0,12412,0,0,0,0,62,107034
6,719,0,0,0,0,0,0,0,0,41785,0,0,0,1137,79612,152783,91103,0,20457,0,51,0,80,73,95512
7,248,0,0,0,0,0,0,0,0,61545,0,0,0,3110,63540,92364,89268,0,20057,0,75,0,0,202,120205
8,299,0,0,0,0,0,76,0,0,99570,0,0,0,3549,48367,92047,83375,0,15328,0,143,0,131,890,118159
9,130,0,208,0,0,0,0,0,0,131354,0,127,0,3995,47428,99634,69744,0,9987,0,205,0,62,284,108938
10,657,0,0,0,0,0,42,0,0,162707,0,0,0,2963,59291,100044,40145,0,9537,0,106,0,0,635,114421
11,323,52,0,0,0,0,0,0,0,190412,0,0,128,502,84858,96904,39078,0,7370,0,777,274,230,919,100816
12,45,0,0,0,138,96,0,0,285,209965,0,0,0,235,56617,119123,43422,0,9654,250,288,63,0,351,106161
13,0,0,0,0,0,0,0,0,0,229134,0,287,0,409,63027,153510,51740,146,6766,756,1932,0,61,1348,102823
14,129,0,0,0,0,0,87,0,0,254899,0,0,0,1176,76324,100833,58328,0,7559,0,1942,0,382,823,104428
15,725,75,250,0,0,0,126,0,0,252439,0,0,0,1852,63918,83618,65349,62,9216,0,1244,0,437,1286,113645
16,390,246,0,0,80,0,75,0,0,284054,0,0,0,1705,36715,52341,70757,0,7027,0,6004,131,208,1450,158673
17,618,55,66,0,0,0,163,0,0,300848,0,67,0,0,44526,36112,87910,0,5200,0,15658,110,684,988,162365
18,639,102,142,70,0,85,203,0,0,307625,0,0,0,516,27062,32290,83147,0,3855,0,32591,0,572,715,198156
19,811,267,432,0,0,81,48,0,252,301752,0,0,0,4249,27678,37250,76978,0,3831,261,39009,97,623,393,206959
20,954,239,67,51,0,0,151,0,460,296270,0,0,0,557,23011,32618,73124,985,2333,241,54008,166,351,989,260456
21,812,0,0,70,245,0,326,0,213,281356,0,123,199,304,27002,20823,67823,0,1439,471,56538,155,730,1146,280684
22,1766,164,0,53,425,8,397,0,162,274776,0,83,0,8982,20706,28457,59494,294,2088,660,59334,87,1342,305,296096
23,2606,0,84,381,286,79,338,0,243,230707,0,0,0,5067,20200,22067,57681,0,1140,72,53587,303,1081,940,297849
24,2133,138,136,127,0,94,429,0,325,216963,0,99,0,0,28213,21378,36604,0,290,897,50984,220,858,549,339250
25,1424,319,0,84,189,87,584,0,172,171212,0,0,0,6230,21496,27385,40492,96,783,352,60153,475,1180,165,319451
26,1457,239,137,364,0,0,367,0,270,158480,0,0,0,1831,23371,18238,28655,0,1085,94,55373,347,2014,511,343831
27,3961,470,140,310,269,0,334,147,72,126899,0,0,0,2745,21247,13154,27254,0,22,0,46478,137,1785,230,307637
28,2828,338,144,233,95,0,135,454,0,115071,0,162,0,5290,18671,16041,35114,167,360,673,62318,267,2159,629,241688
29,1615,171,0,474,257,0,156,214,193,112863,0,0,397,6301,22122,21932,30729,0,0,0,61396,143,1369,746,231323
30,1813,223,273,304,0,0,531,0,0,91837,0,0,355,1954,17578,26589,15367,0,127,0,35706,200,1557,662,215707
31,1384,0,398,93,0,0,127,100,113,88293,0,0,458,1387,17634,33430,13784,0,0,0,41999,359,2733,679,193962
32,2081,397,152,242,382,0,263,354,0,98768,0,0,0,401,15840,33302,12904,0,165,534,24377,162,2631,417,146999
33,1804,237,0,233,237,0,152,596,0,91311,160,0,155,768,29724,34328,14377,0,0,0,15842,287,1697,150,122846
34,2309,0,0,0,0,0,78,0,0,91690,0,0,337,0,13191,30965,10622,0,289,0,13559,517,3932,623,114313
35,1857,0,0,117,0,0,232,0,0,95455,145,0,440,0,18066,26988,8721,0,0,208,16605,330,860,921,76276
36,1491,0,100,77,0,0,82,0,0,97078,0,576,320,574,13525,25563,5528,0,291,0,4443,236,1788,816,54550
37,944,0,0,0,229,0,154,0,0,91479,0,0,0,97,7271,23229,4904,0,0,0,7562,0,2078,152,53126
38,1067,0,0,0,108,0,78,0,0,89925,0,0,0,0,11428,18922,3350,695,208,0,5321,0,1435,221,49075
39,1550,0,0,0,102,0,0,0,0,84870,0,0,0,224,12167,17708,7551,0,0,0,1601,134,539,0,25659
40,418,0,119,0,0,0,94,0,0,80685,0,273,263,293,8589,13783,1960,0,30,0,910,94,0,243,17176
41,0,0,146,110,0,0,0,0,0,62371,0,0,0,2158,7111,6830,1782,0,224,0,174,86,783,94,19424
42,334,0,0,0,134,0,0,0,0,56814,0,0,0,0,6416,11329,500,0,0,0,1122,0,109,0,15489
43,0,0,0,0,0,0,0,0,0,43920,0,0,0,953,6302,6743,1885,0,0,0,220,305,138,121,8881
44,307,0,0,0,0,0,75,0,0,32163,0,0,259,306,7991,9749,30,0,0,0,0,0,0,151,5230
45,158,0,0,0,0,0,0,0,0,25702,0,745,0,1107,5992,4061,0,0,0,0,0,0,0,0,4147
46,136,0,0,164,0,0,0,0,0,17557,0,0,0,0,5073,2163,200,0,0,0,0,0,118,126,4241
47,0,0,0,0,0,0,0,0,0,16762,0,0,0,0,4677,2783,0,0,0,0,0,0,0,0,3109
48,158,0,0,0,0,0,0,0,0,10718,0,0,0,0,3218,318,0,0,0,0,0,137,0,0,478
49,0,0,0,0,0,0,0,0,0,7379,0,0,0,0,866,391,419,0,0,0,0,0,292,0,1250
50,0,0,0,0,0,0,0,0,0,2119,0,0,0,0,2918,563,0,0,0,0,0,0,0,0,2485
51,0,0,0,0,0,0,0,0,0,3430,0,0,0,152,1032,0,69,0,0,0,0,0,0,0,923
52,0,0,0,0,0,0,0,0,0,728,0,0,0,279,406,567,376,0,0,0,0,0,0,0,3137
53,0,0,0,0,0,0,0,0,0,1125,0,0,0,0,638,434,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,871,0,0,0,0,723,272,0,0,0,0,0,0,0,0,138
55,0,0,0,0,0,0,0,0,0,337,0,0,0,0,738,0,0,0,0,0,0,0,0,0,270
56,0,0,0,0,0,0,0,0,0,946,171,0,0,679,755,486,0,0,0,0,0,0,0,0,559
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,819,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,0,0,0,0,0,0,0,0,0,162
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
