"","dam","sire","offspring","gen","fam","sex"
"1","89","88","77","1","1","M"
"2","89","88","66","1","1","M"
"3","89","88","55","1","1","F"
"4","89","88","44","1","1","F"
"5","89","88","33","1","1","M"
"6","86","77","85","2","1","M"
"7","87","66","83","2","1","M"
"8","55","22","84","2","1","M"
"9","44","17","82","2","1","F"
"10","33","16","81","2","1","M"
"11","80","79","29","1","2","M"
"12","80","79","78","1","2","M"
"13","80","79","76","1","2","M"
"14","80","79","75","1","2","F"
"15","80","79","74","1","2","F"
"16","80","79","73","1","2","F"
"17","30","29","28","2","2","M"
"18","72","78","67","2","2","M"
"19","71","76","65","2","2","F"
"20","75","70","64","2","2","M"
"21","74","69","63","2","2","M"
"22","73","68","62","2","2","F"
"23","61","60","59","1","3","M"
"24","61","60","58","1","3","M"
"25","61","60","57","1","3","F"
"26","61","60","56","1","3","F"
"27","61","60","54","1","3","F"
"28","53","59","48","2","3","M"
"29","52","58","47","2","3","M"
"30","57","51","46","2","3","F"
"31","56","50","45","2","3","M"
"32","49","54","43","2","3","F"
"33","42","41","40","1","4","M"
"34","42","41","27","1","4","F"
"35","42","41","39","1","4","F"
"36","42","41","20","1","4","F"
"37","42","41","38","1","4","F"
"38","42","41","24","1","4","F"
"39","37","40","34","2","4","F"
"40","27","26","25","2","4","M"
"41","39","36","32","2","4","M"
"42","20","19","18","2","4","M"
"43","38","35","31","2","4","M"
"44","24","23","21","2","4","F"
