,chr,length_GB
1,NC_044211.2,114020016
2,NC_044212.2,71569005
3,NC_044213.2,151653088
4,NC_044214.2,112598992
5,NC_044215.2,70982421
6,NC_044216.2,19491698
7,NC_044217.2,61663524
8,NC_044218.2,35592820
9,NC_044219.2,37979234
10,NC_044220.2,31251066
11,NC_044221.2,25529500
12,NC_044222.2,20543327
13,NC_044223.2,21108237
14,NC_044224.2,20384687
15,NC_044225.2,18052104
16,NC_044226.2,16340488
17,NC_044227.2,13771869
18,NC_044228.2,1095113
19,NC_044229.2,11257394
20,NC_044230.2,11152170
21,NC_044231.2,8335140
22,NC_044232.2,14749488
23,NC_044233.2,7924511
24,NC_044234.2,4608043
25,NC_044235.2,6804446
26,NC_044236.2,7620594
27,NC_044237.2,2880192
28,NC_044238.2,6804938
29,NC_044239.2,5378928
30,NC_044240.2,5866305
31,NC_044242.2,2636872
32,NC_044243.2,2225416
33,NC_054763.1,1821854
34,NC_054764.1,2089234
35,NC_054765.1,1248372
36,NC_054766.1,1299319
37,NC_054767.1,2564177
38,NC_054768.1,1020380
39,NC_054769.1,1798728
40,NC_044241.2,75396176
41,NC_045028.1,20846394
